ano_campeonato,data,horario,rodada,estadio,arbitro,publico,publico_max,time_man,time_vis,tecnico_man,tecnico_vis,colocacao_man,colocacao_vis,valor_equipe_titular_man,valor_equipe_titular_vis,idade_media_titular_man,idade_media_titular_vis,gols_man,gols_vis,gols_1_tempo_man,gols_1_tempo_vis,escanteios_man,escanteios_vis,faltas_man,faltas_vis,chutes_bola_parada_man,chutes_bola_parada_vis,defesas_man,defesas_vis,impedimentos_man,impedimentos_vis,chutes_man,chutes_vis,chutes_fora_man,chutes_fora_vis
2020,2020-08-09,12:30,1,Estádio Major Antônio Couto Pereira,Bruno Arleu de Araújo,0,37182,Coritiba FC,Internacional,Eduardo Barroca,Eduardo Coudet,18,6,6430000,21250000,28.1,27.8,0,1,0,0,2,6,5,13,11,5,3,0,3,2,1,8,1,3
2020,2020-08-09,02:00,1,Estádio Adelmar da Costa Carvalho,Edina Alves Batista,0,35000,Sport Recife,Ceará SC,Daniel Paulista,Guto Ferreira,3,14,7000000,6180000,27.2,29.8,3,2,3,1,0,1,1,3,2,1,0,0,1,0,4,2,0,0
2020,2020-08-09,09:00,1,Estádio Jornalista Mário Filho,Raphael Claus,0,78838,Flamengo,Atlético-MG,Domènec Torrent,Jorge Sampaoli,16,7,76200000,20500000,29.0,24.5,0,1,0,1,9,2,12,24,21,10,4,2,2,3,17,10,10,2
2020,2020-08-09,09:00,1,Estádio Urbano Caldeira,Ricardo Marques Ribeiro,0,20120,Santos FC,RB Bragantino,Cuca,Felipe Tigrão,8,11,28450000,10700000,27.5,25.2,1,1,0,0,4,2,10,19,19,9,5,3,4,2,10,18,5,8
2020,2020-08-10,12:00,1,Arena do Grêmio,Wilton Sampaio,0,60540,Grêmio,Fluminense,Renato Gaúcho,Odair Hellmann,5,17,25350000,20980000,30.1,27.4,1,0,1,0,,,,,,,,,,,,,,
2020,2020-08-10,12:00,1,Estádio Governador Plácido Castelo,Braulio da Silva Machado,0,60326,Fortaleza,Athletico-PR,Rogério Ceni,Dorival Júnior,19,2,7450000,11600000,29.9,25.9,0,2,0,2,3,4,12,7,7,11,3,3,1,1,10,13,4,4
2020,2020-10-01,02:30,1,Estádio Olímpico Nilton Santos,Savio Pereira Sampaio,0,46931,Botafogo,EC Bahia,Paulo Autuori,Mano Menezes,15,4,8900000,13030000,26.6,29.1,1,2,0,1,8,5,18,14,14,14,2,1,0,1,15,12,8,7
2020,2020-10-01,02:30,1,Neo Química Arena,Paulo Roberto Alves Júnior,0,49205,Corinthians,Atlético-GO,Coelho,Vágner Mancini,12,13,27850000,7100000,28.2,26.7,0,0,0,0,4,7,18,12,10,18,5,4,4,2,12,17,8,7
2020,2020-12-03,11:00,1,Estádio Serra Dourada,Caio Max Augusto Vieira,0,12500,Goiás EC,São Paulo,Glauber Ramos,Fernando Diniz,20,1,6580000,28100000,26.1,27.9,0,3,0,1,2,9,16,19,18,16,3,3,0,1,9,15,4,6
2020,2021-01-27,12:00,1,Allianz Parque,Anderson Daronco,0,43600,Palmeiras,Vasco da Gama,Abel Ferreira,Vanderlei Luxemburgo,9,10,15300000,25150000,27.1,27.4,1,1,1,1,6,3,19,11,11,17,2,2,0,2,14,12,7,5
